,Unit_ID,ID.X,ID.resp,Study,ID.case,author,pubyear,citation,system,habitat,latitud,longitud,fcl,duration,fert_area,vol,study_typ,temp,Conversion,taxon,tax_resp_cat,tax_resp_typ,tax_resp_unit,con.mn,con.sd,con.n,fert.mn,fert.sd,fert.n,unit.conc.con,n_avail,mode,p_avail,fert.ratio.n,fert..ratio.p,log.fert.rat,n.add.m2,p.add.m2,mode2,LRR,var.LRR,log.n.av,log.p.av,log.n.add,log.p.add,st.n,st.p,st.tot,st.p.add,st.n.add,st.add.tot,X,scale,col,ID.study,ID.case,system,pr.st
99,99,161,979,m2_2_EEC015,161,Haag,1974,Can J Bot 52:103-116,terrestrial,tundra,69.26,-133.01,1,56,1,NA,field,15.5,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,72.5,1.3,2,138.6,2.1,2,none,NA,none,NA,NA,NA,NA,219178.0822,98983.65002,both,0.648005525,0.000275545,NA,NA,12.29763984,11.50270996,NA,NA,NA,0.976596259,0.595043323,0.785819791,0.785819791,1.693510727,darkgreen,EEC015,161,terrestrial,0.801012839
100,100,162,998,m2_2_EEC018,162,Gehring&&,1999,Biogeochemistry 45:223-241,terrestrial,shrubland,-1.1167,-47.62,1,910,14,NA,field,26,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,2395.94,1091.1789,8,3644.67,1177.304506,8,none,NA,none,NA,NA,NA,NA,1424657.534,281484.7548,both,0.419490188,0.038969679,NA,NA,14.16944202,12.54783357,NA,NA,NA,1.286028476,1.170719921,1.228374199,1.228374199,1.407397796,darkgreen,EEC018,162,terrestrial,1.254110948
101,101,169,1214,m2_2_EEC030,169,Barger&&,2002,Biotropica 34:493-501,terrestrial,herbaceous,10.28,-67.2,1,335,1,NA,field,17.9,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,405,142.3024947,10,952.5,166.0195772,10,none,NA,none,NA,NA,NA,NA,1311154.599,592134.335,both,0.85520304,0.015383685,NA,NA,14.08641868,13.29148881,NA,NA,NA,1.506204241,1.145185924,1.325695083,1.325695083,1.461102686,darkgreen,EEC030,169,terrestrial,1.353750467
102,102,170,1218,m2_2_EEC031,170,Campo&Vazquez-Yanes,2004,Ecosystems 7:311-319,terrestrial,forest,21.06,-89.17,1,1095,100,NA,field,25.8,succ,vascular plants,biomass,diameter increment,mm/3yrs,4.78252,0.67264,4,9.89429,1.34522,4,µmol g-1,8,both,0.35,58.92857143,207.3732719,4.891483234,4714285.714,725806.4516,both,0.726990219,0.009566518,2.079441542,-1.049822124,15.36610797,13.49503866,0.139810979,0.12997289,0.134891935,1.566469729,1.538756989,1.552613359,1.552613359,1.488550266,darkgreen,EEC031,170,terrestrial,1.586074991
103,103,171,1222,m2_2_EEC032,171,Campo&Vazquez-Yanes,2004,Ecosystems 7:311-319,terrestrial,forest,21.06,-89.17,1,1095,100,NA,field,25.8,succ,vascular plants,biomass,diameter increment,mm/3yrs,2.4987,1.00846,4,5.42436,0.4199,4,µmol g-1,9.5,both,0.61,49.62406015,118.9846642,4.43443361,4714285.714,725806.4516,both,0.775129323,0.042220082,2.251291799,-0.494296322,15.36610797,13.49503866,0.193838583,0.269774224,0.231806404,1.566469729,1.538756989,1.552613359,1.552613359,1.402768941,darkgreen,EEC032,171,terrestrial,1.586074991
105,105,173,1254,m2_2_EEC036,173,Mirmanto&&,1999,Phil Trans R Soc Lond 354:1825-1829,terrestrial,forest,-0.6,113.56,1,1825,2500,NA,field,27.5,succ,vascular plants,biomass,diameter increment,cm/yr,0.74,0.8,4,0.86,0.9,4,µmol g-1,16.42857143,both,0.041935484,48.91304348,46.875,3.86899069,8035714.286,1209677.419,both,0.150282203,0.565980723,2.799021979,-3.171622937,15.89940645,14.00586429,0.366038202,-0.403990759,-0.018976278,1.71771108,1.70277403,1.710242555,1.710242555,1.252792179,darkgreen,EEC036,173,terrestrial,1.747459646
104,104,172,1250,m2_2_EEC036,172,Mirmanto&&,1999,Phil Trans R Soc Lond 354:1825-1829,terrestrial,forest,-0.6,113.56,1,1825,2500,NA,field,27.5,succ,vascular plants,biomass,litterfall,g/m2/yr,710,1.6,4,950,0.6,4,µmol g-1,16.42857143,both,0.041935484,48.91304348,46.875,3.86899069,8035714.286,1209677.419,both,0.291197015,1.37E-06,2.799021979,-3.171622937,15.89940645,14.00586429,0.366038202,-0.403990759,-0.018976278,1.71771108,1.70277403,1.710242555,1.710242555,2,darkgreen,EEC036,172,terrestrial,1.747459646
106,106,177,1297,m2_2_EEC044,177,Tanner&&,1992,Ecology 73:78-86,terrestrial,forest,8,-72,1,1825,144,NA,field,13,fert.fact.miss,vascular plants,biomass,diameter increment,mm/yr,0.6,0.223606798,5,1.4,0.447213595,5,none,NA,both,NA,NA,NA,NA,5357.142857,806.4516129,both,0.84729786,0.048185941,NA,NA,8.586186063,6.692643899,NA,NA,NA,-0.447531378,-0.546421897,-0.496976637,-0.496976637,1.395132118,darkgreen,EEC044,177,terrestrial,-0.512345756
107,107,178,1306,m2_2_EEC048,178,Corbin&&,2003,Water Air Soil Poll 147:141-161,terrestrial,herbaceous,37.22,-80.31,1,730,12,NA,field,8,succ,vascular plants,biomass,aboveground biomass,g/m2/yr,360,231.9310242,8,245,59.39696962,8,µmol g-1,0.87,both,NA,159.2775041,NA,5.07064799,1385714.286,193548.3871,both,-0.384845821,0.059229655,-0.139262067,NA,14.14172629,12.17328282,-0.557722097,NA,NA,1.175134351,1.162195894,1.168665123,1.168665123,1.38320898,darkgreen,EEC048,178,terrestrial,1.192979324
108,108,179,1310,m2_2_EEC049,179,Sarmiento&&,2006,J Tropical Ecology 22:203-212,terrestrial,shrubland,4.49,-68.54,1,225,1,NA,field,27,succ,vascular plants,biomass,aboveground biomass,g/m2,853,246,4,2505,816,4,µmol g-1,NA,p,0.645,NA,30.82962521,3.428476085,660469.6673,198851.0826,both,1.077284466,0.047320783,NA,-0.438504962,13.40070648,12.20031149,NA,0.283814448,0.283814448,1.183136794,0.93429373,1.058715262,1.058715262,1.396178955,darkgreen,EEC049,179,terrestrial,1.080409948
109,109,181,1316,m2_2_EEC051,181,Gleeson&Good,2003,Ecol Lett 6:220-227,terrestrial,forest,39.54,-74.48,1,180,25,NA,field,NA,fert.fact.miss,vascular plants,biomass,diameter growth increment,cm,1.01,0.284604989,10,1.6,0.411096096,10,none,NA,none,NA,NA,NA,NA,239.5303327,139.9911622,both,0.460053298,0.01454196,NA,NA,5.478680059,4.941579293,NA,NA,NA,-0.965973217,-1.502141741,-1.234057479,-1.234057479,1.464353907,darkgreen,EEC051,181,terrestrial,-1.266987286
110,110,182,1331,m2_2_EEC053,182,Harcombe,1977,Ecology 58:1375-1383,terrestrial,forest,9.53,-83.4,1,365,100,NA,field,22.3,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2/yr,1551,261,8,1023,99,8,none,NA,none,NA,NA,NA,NA,5.00E+05,282258.0645,both,-0.416160397,0.004710364,NA,NA,13.12236338,12.55057705,NA,NA,NA,1.286840747,0.848688739,1.067764743,1.067764743,1.529487447,darkgreen,EEC053,182,terrestrial,1.089675029
111,111,185,1383,m2_2_EEC058,185,Uhl,1987,J Ecol 75:377-407,terrestrial,forest,1.56,-67.03,1,180,1.5,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2/yr,33,12.6,4,239,94,4,none,NA,none,NA,NA,NA,NA,1409001.957,954485.1966,both,1.97995599,0.075118573,NA,NA,14.15839218,13.76892741,NA,NA,NA,1.647560619,1.167321521,1.40744107,1.40744107,1.369477888,darkgreen,EEC058,185,terrestrial,1.437444024
112,112,186,1385,m2_2_EEC058,186,Uhl,1987,J Ecol 75:377-407,terrestrial,forest,1.56,-67.03,1,180,1.5,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2/yr,37,19,4,327,174,4,none,NA,none,NA,NA,NA,NA,1409001.957,954485.1966,both,2.179042258,0.13670932,NA,NA,14.15839218,13.76892741,NA,NA,NA,1.647560619,1.167321521,1.40744107,1.40744107,1.334880018,darkgreen,EEC058,186,terrestrial,1.437444024
113,113,187,1389,m2_2_EEC059,187,vanWijnen&Bakker,1999,J Ecol 87:265-272,terrestrial,wetland,53.3,6.1,1,795,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,904.5455,365.8413795,12,1146.43,210.5026021,12,none,NA,none,NA,NA,NA,NA,777886.4971,702607.1586,both,0.236975437,0.01644106,NA,NA,13.5643359,13.46255321,NA,NA,NA,1.556851684,0.984618295,1.270734989,1.270734989,1.457261819,darkgreen,EEC059,187,terrestrial,1.297480969
114,114,188,1398,m2_2_EEC060,188,vanWijnen&Bakker,1999,J Ecol 87:265-272,terrestrial,wetland,53.3,6.1,1,795,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,1102.325,271.7096447,12,1403.49,291.8360723,12,none,NA,none,NA,NA,NA,NA,777886.4971,702607.1586,both,0.241540406,0.008666133,NA,NA,13.5643359,13.46255321,NA,NA,NA,1.556851684,0.984618295,1.270734989,1.270734989,1.494261595,darkgreen,EEC060,188,terrestrial,1.297480969
115,115,190,1527,m2_2_EEC069,190,Niinemets&Kull,2005,Acta Oecologica 28:345-356,terrestrial,herbaceous,58.36,23.35,1,80,0.25,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2/yr,231.694,33.35470183,6,497.091,108.5540369,6,none,NA,none,NA,NA,NA,NA,313111.546,28281.04286,both,0.763355572,0.011402289,NA,NA,12.65431478,10.249947,NA,NA,NA,0.605687764,0.704739434,0.655213599,0.655213599,1.478407332,darkgreen,EEC069,190,terrestrial,0.667295001
116,116,191,1560,m2_2_EEC070,191,Niinemets&Kull,2005,Acta Oecologica 28:345-356,terrestrial,herbaceous,58.36,23.35,1,7300,300,NA,field,NA,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2/yr,126.3,9.17986928,3,431,27.71281292,3,none,NA,none,NA,NA,NA,NA,14285714.29,1677419.355,both,1.227448061,0.003139057,NA,NA,16.4747706,14.33276707,NA,NA,NA,1.814497961,1.879728453,1.847113207,1.847113207,1.552936927,darkgreen,EEC070,191,terrestrial,1.887591192
117,117,197,1672,m2_2_EEC078,197,Chalmers&&,2005,Aust J Bot 53:485-499,terrestrial,herbaceous,-30.26,151.4,1,540,1,NA,field,NA,succ,vascular plants,biomass,aboveground biomass,g/m2,232,98.59006035,30,458,153.3623161,30,µmol g-1,0.245714286,both,0.041935484,365.562281,910.4320337,6.458333828,898238.7476,381794.0787,both,0.680131812,0.009757153,-1.403585857,-3.171622937,13.70819118,12.85263668,-0.955209917,-0.403990759,-0.679600338,1.376272255,1.02886128,1.202566768,1.202566768,1.487410193,darkgreen,EEC078,197,terrestrial,1.227688664
118,118,198,1728,m2_2_EEC087,198,Richardson&&,2002,J Ecol 90:544-556,terrestrial,herbaceous,68,19,1,3285,2.25,NA,field,11,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,802,240,4,862,136,4,none,NA,none,NA,NA,NA,NA,6428571.429,2903225.806,both,0.072146663,0.028610971,NA,NA,15.6762629,14.88133302,NA,NA,NA,1.976913179,1.634145774,1.805529477,1.805529477,1.425251365,darkgreen,EEC087,198,terrestrial,1.845016744
119,119,199,1740,m2_2_EEC088,199,Richardson&&,2002,J Ecol 90:544-556,terrestrial,herbaceous,68,19,1,3285,2.25,NA,field,14,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,1100,200,4,965,350,4,none,NA,none,NA,NA,NA,NA,6428571.429,2903225.806,both,-0.130937357,0.041151252,NA,NA,15.6762629,14.88133302,NA,NA,NA,1.976913179,1.634145774,1.805529477,1.805529477,1.404250507,darkgreen,EEC088,199,terrestrial,1.845016744
121,121,208,1993,m2_2_ETB015,208,Hansson&Carpenter,1993,Oikos 67:257-263,freshwater,lake,NA,NA,2,69,3.14156,7800,field,NA,succ,phytoplankton,biomass,chlorophyll,,2,2,3,7,81,3,µmol L-1,NA,p,1.612903226,NA,27.68498168,3.320890089,536585.0997,106862.2868,both,1.252762968,44.96598639,NA,0.478035801,13.19298045,11.57929625,NA,1.542958302,1.542958302,0.99927134,0.870407164,0.934839252,0.934839252,1,darkblue,ETB015,208,freshwater,0.953582636
120,120,207,1991,m2_2_ETB015,207,Hansson&Carpenter,1993,Oikos 67:257-263,freshwater,lake,NA,NA,3,69,3.14156,7800,field,NA,succ,phytoplankton,biomass,chlorophyll,,4,1.5,3,25,1,3,µmol L-1,NA,p,1.612903226,NA,27.68498168,3.320890089,536585.0997,106862.2868,both,1.832581464,0.047408333,NA,0.478035801,13.19298045,11.57929625,NA,1.542958302,1.542958302,0.99927134,0.870407164,0.934839252,0.934839252,1.396072152,darkblue,ETB015,207,freshwater,0.953582636
123,123,212,2025,m2_2_ETB021,212,Perez-Fuentetaja&&,1996,Oikos 75:98-110,freshwater,lake,NA,NA,2,72,11.412654,27000,field,NA,succ,phytoplankton,biomass,chlorophyll,,0.98,0.3,2,0.2,0.09,2,µmol L-1,NA,p,7.3,NA,2,0.693147181,NA,2027.824303,p,-1.589235205,0.148105477,NA,1.987874348,NA,7.614718725,NA,2.597326869,2.597326869,-0.174530503,NA,-0.174530503,-0.174530503,1.330253723,darkblue,ETB021,212,freshwater,-0.182217458
122,122,211,2023,m2_2_ETB021,211,Perez-Fuentetaja&&,1996,Oikos 75:98-110,freshwater,lake,NA,NA,3,72,11.412654,27000,field,NA,succ,phytoplankton,biomass,chlorophyll,,1.32,2.4,2,1.13,0.9,2,µmol L-1,NA,p,7.3,NA,2,0.693147181,NA,2027.824303,p,-0.155414104,1.970066969,NA,1.987874348,NA,7.614718725,NA,2.597326869,2.597326869,-0.174530503,NA,-0.174530503,-0.174530503,1.180725675,darkblue,ETB021,211,freshwater,-0.182217458
124,124,213,2039,m2_2_ETB024,213,Faafeng&&,1990,Hydrobiologia 200/201:119-128,freshwater,lake,NA,NA,3,22,1.767145868,7000,field,NA,succ,phytoplankton,biomass,chlorophyll,,34,2,3,18,0.5,3,µmol L-1,125,both,0.612903226,1.828571429,31.57894737,2.815633808,898171.4689,74240.36168,both,-0.635988767,0.001410604,4.828313737,-0.489548225,13.70811627,11.21506324,NA,0.867263418,NA,0.891432013,1.028838243,0.960135128,0.960135128,1.599155178,darkblue,ETB024,213,freshwater,0.979481177
125,125,214,2041,m2_2_ETB024,214,Faafeng&&,1990,Hydrobiologia 200/201:119-128,freshwater,lake,NA,NA,2,22,1.767145868,7000,field,NA,succ,phytoplankton,biomass,chlorophyll,,16,4,3,10,0.5,3,µmol L-1,125,both,0.612903226,1.828571429,31.57894737,2.815633808,898171.4689,74240.36168,both,-0.470003629,0.021666667,4.828313737,-0.489548225,13.70811627,11.21506324,NA,0.867263418,NA,0.891432013,1.028838243,0.960135128,0.960135128,1.44131501,darkblue,ETB024,214,freshwater,0.979481177
127,127,216,2049,m2_2_ETB025,216,Faafeng&&,1990,Hydrobiologia 200/201:119-128,freshwater,lake,NA,NA,2,27,1.767145868,7000,field,NA,succ,phytoplankton,biomass,chlorophyll,,15,11,3,73,144,3,µmol L-1,125,both,0.612903226,1.828571429,31.57894737,2.815633808,898171.4689,74240.36168,both,1.58240924,1.476313116,4.828313737,-0.489548225,13.70811627,11.21506324,NA,0.867263418,NA,0.891432013,1.028838243,0.960135128,0.960135128,1.197396264,darkblue,ETB025,216,freshwater,0.979481177
126,126,215,2047,m2_2_ETB025,215,Faafeng&&,1990,Hydrobiologia 200/201:119-128,freshwater,lake,NA,NA,3,27,1.767145868,7000,field,NA,succ,phytoplankton,biomass,chlorophyll,,25,12,3,148,0.5,3,µmol L-1,125,both,0.612903226,1.828571429,31.57894737,2.815633808,898171.4689,74240.36168,both,1.778336449,0.076803804,4.828313737,-0.489548225,13.70811627,11.21506324,NA,0.867263418,NA,0.891432013,1.028838243,0.960135128,0.960135128,1.368195967,darkblue,ETB025,215,freshwater,0.979481177
128,128,221,2075,m2_2_ETB029,221,McQueen&&,1992,Arch Hydrobiol 125:1-24,freshwater,lake,NA,NA,3,99,50.26548246,6.00E+05,field,NA,succ,phytoplankton,biomass,chlorophyll,,1.65,0.5,2,8.9,0.72,2,µmol L-1,NA,p,0.580645161,NA,1.625330688,-0.207435885,108310.6229,4334.130146,both,1.685275989,0.049185996,NA,-0.543615447,11.59275852,8.374276211,NA,0.829506547,0.829506547,0.050353478,0.378255627,0.214304553,0.214304553,1.393945227,darkblue,ETB029,221,freshwater,0.215881454
129,129,222,2077,m2_2_ETB029,222,McQueen&&,1992,Arch Hydrobiol 125:1-24,freshwater,lake,NA,NA,2,99,50.26548246,6.00E+05,field,NA,succ,phytoplankton,biomass,chlorophyll,,0.41,0.13,2,5.85,11.045,2,µmol L-1,NA,p,0.580645161,NA,1.625330688,-0.207435885,108310.6229,4334.130146,both,2.658039781,1.832604245,NA,-0.543615447,11.59275852,8.374276211,NA,0.829506547,0.829506547,0.050353478,0.378255627,0.214304553,0.214304553,1.184904853,darkblue,ETB029,222,freshwater,0.215881454
130,130,227,2788,m2_2_HLH020,227,Hill&&,1992,Can J Fish Aquat Sci 49:504-512,freshwater,stream,35.92,-84.32,2,21,0.366,501.43,field,12,succ,periphyton,biomass,chlorophyll,microg/cm2,1.935400517,0.361757106,4,2.894056848,0.542635659,4,µmol L-1,4.642857143,both,0.274193548,3.3,2.470588236,1.059626842,20990.77576,928.0830251,both,0.402344981,0.01752345,1.53532994,-1.293921042,9.951838371,6.833121195,NA,0.305544142,NA,-0.405939932,-0.126412729,-0.266176331,-0.266176331,1.453577891,darkblue,HLH020,227,freshwater,-0.276046714
131,131,228,2789,m2_2_HLH020,228,Hill&&,1992,Can J Fish Aquat Sci 49:504-512,freshwater,stream,35.92,-84.32,1,21,0.366,501.43,field,12,succ,periphyton,biomass,chlorophyll,microg/cm2,2.839793282,0.253229974,4,6.565891473,0.868217054,4,µmol L-1,4.642857143,both,0.274193548,3.3,2.470588236,1.059626842,20990.77576,928.0830251,both,0.838157029,0.006359196,1.53532994,-1.293921042,9.951838371,6.833121195,NA,0.305544142,NA,-0.405939932,-0.126412729,-0.266176331,-0.266176331,1.512145617,darkblue,HLH020,228,freshwater,-0.276046714
133,133,246,3070,m2_2_HLH039,246,McCormick&Stevenson,1991,Oecologia 86:287-291,freshwater,stream,37.92,-85.67,1,21,0.008658925,0.2,field,NA,succ,periphyton,biomass,biovolume,microm3/mm2,106057.1429,39589.73274,3,157257.1429,31671.7862,3,µmol L-1,6.428571429,both,0.483870968,1.611111112,10.66666667,1.814643763,239.224688,119.2131927,both,0.393904286,0.059968503,1.860752341,-0.725937003,5.477403227,4.780913426,NA,0.702185571,NA,-1.013541941,-1.502534433,-1.258038187,-1.258038187,1.382492677,darkblue,HLH039,246,freshwater,-1.291539325
132,132,245,3065,m2_2_HLH039,245,McCormick&Stevenson,1991,Oecologia 86:287-291,freshwater,stream,37.92,-85.67,2,21,0.008658925,0.2,field,NA,succ,periphyton,biomass,biovolume,microm3/mm2,6400,47507.67929,3,141714.2857,31671.7862,3,µmol L-1,6.428571429,both,0.483870968,1.611111112,10.66666667,1.814643763,239.224688,119.2131927,both,3.097514968,18.38399626,1.860752341,-0.725937003,5.477403227,4.780913426,NA,0.702185571,NA,-1.013541941,-1.502534433,-1.258038187,-1.258038187,1.051679681,darkblue,HLH039,245,freshwater,-1.291539325
134,134,253,3168,m2_2_HLH049,253,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,2,31,0.015625,1.953125,field,7,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.501886649,0.197668992,4,0.414003753,0.194765356,4,µmol L-1,7.14,both,0.78,1.324929972,2.666666667,0.69104413,1182.5,260,both,-0.192499256,0.094109084,1.965712776,-0.248461359,7.07538612,5.560681631,NA,1.03562209,NA,-0.782674124,-1.011071517,-0.89687282,-0.89687282,1.356455103,darkblue,HLH049,253,freshwater,-0.921769323
135,135,254,3169,m2_2_HLH049,254,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,1,31,0.015625,1.953125,field,7,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.971341641,0.161893303,3,1.013486159,0.141154091,4,µmol L-1,7.14,both,0.78,1.324929972,2.666666667,0.69104413,1182.5,260,both,0.042473058,0.014109043,1.965712776,-0.248461359,7.07538612,5.560681631,NA,1.03562209,NA,-0.782674124,-1.011071517,-0.89687282,-0.89687282,1.466100149,darkblue,HLH049,254,freshwater,-0.921769323
137,137,256,3198,m2_2_HLH050,256,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,1,38,0.015625,1.953125,field,9.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.189236772,0.063465786,4,0.094052654,0.041208974,4,µmol L-1,0.11,both,0.08,17.90909091,8,2.561446727,246.25,80,both,-0.699144219,0.076112942,-2.207274913,-2.525728644,5.50634728,4.382026635,NA,-0.554666519,NA,-1.131641296,-1.49363263,-1.312636963,-1.312636963,1.368718057,darkblue,HLH050,256,freshwater,-1.347438898
136,136,255,3195,m2_2_HLH050,255,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,2,38,0.015625,1.953125,field,9.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.071252207,0.034714608,3,0.110228502,0.104420719,4,µmol L-1,0.11,both,0.08,17.90909091,8,2.561446727,246.25,80,both,0.436329708,0.303473441,-2.207274913,-2.525728644,5.50634728,4.382026635,NA,-0.554666519,NA,-1.131641296,-1.49363263,-1.312636963,-1.312636963,1.288804315,darkblue,HLH050,255,freshwater,-1.347438898
139,139,258,3226,m2_2_HLH051,258,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,1,28,0.015625,1.953125,field,14.6,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.272536906,0.093344693,3,0.174711458,0.058645844,4,µmol L-1,0.27,both,0.2,2.444444444,2.05,0.809694886,82.5,51.25,both,-0.444638238,0.067271774,-1.30933332,-1.609437912,4.412798293,3.936715618,NA,0.085208617,NA,-1.263485582,-1.829955863,-1.546720723,-1.546720723,1.375852557,darkblue,HLH051,258,freshwater,-1.58709962
138,138,257,3223,m2_2_HLH051,257,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.73,18.72,2,28,0.015625,1.953125,field,14.6,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.126066002,0.067006412,4,0.19867769,0.041362388,3,µmol L-1,0.27,both,0.2,2.444444444,2.05,0.809694886,82.5,51.25,both,0.454878268,0.085075447,-1.30933332,-1.609437912,4.412798293,3.936715618,NA,0.085208617,NA,-1.263485582,-1.829955863,-1.546720723,-1.546720723,1.362286008,darkblue,HLH051,257,freshwater,-1.58709962
140,140,269,3392,m2_2_HLH057,269,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,2,31,0.015625,1.953125,field,9.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.185954791,0.050425088,2,0.10744126,0.015078112,2,µmol L-1,13,both,45.8,1.213076923,1.051091703,0.124060459,0.007948589,0.024264113,both,-0.548559305,0.046613591,2.564949357,3.824284091,-4.83476085,-3.718756852,NA,3.879750551,NA,-3.530059423,-4.674061642,-4.102060532,-4.102060532,1.397048969,darkblue,HLH057,269,freshwater,-4.203319488
141,141,270,3393,m2_2_HLH057,270,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,1,31,0.015625,1.953125,field,9.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.427561903,0.08420904,4,0.648652958,0.122330672,4,µmol L-1,13,both,45.8,1.213076923,1.051091703,0.124060459,0.007948589,0.024264113,both,0.41679876,0.018589215,2.564949357,3.824284091,-4.83476085,-3.718756852,NA,3.879750551,NA,-3.530059423,-4.674061642,-4.102060532,-4.102060532,1.450166483,darkblue,HLH057,270,freshwater,-4.203319488
142,142,271,3419,m2_2_HLH058,271,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,2,38,0.015625,1.953125,field,8.7,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.199795189,0.060561838,4,0.332589353,0.064312625,4,µmol L-1,0.1,both,0.03,2.1,1.956989233,0.70729395,26.25,7.338709625,both,0.509615768,0.032318311,-2.302585093,-3.506557897,3.267665989,1.993163027,NA,-1.23961097,NA,-1.838917795,-2.182143652,-2.010530723,-2.010530723,1.418211267,darkblue,HLH058,271,freshwater,-2.061959728
143,143,272,3420,m2_2_HLH058,272,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,1,38,0.015625,1.953125,field,8.7,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.292369374,0.100796145,4,0.626126215,0.13892629,4,µmol L-1,0.1,both,0.03,2.1,1.956989233,0.70729395,26.25,7.338709625,both,0.76153399,0.042022136,-2.302585093,-3.506557897,3.267665989,1.993163027,NA,-1.23961097,NA,-1.838917795,-2.182143652,-2.010530723,-2.010530723,1.403040473,darkblue,HLH058,272,freshwater,-2.061959728
145,145,274,3448,m2_2_HLH059,274,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,2,28,0.015625,1.953125,field,13.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.475632455,0.279646531,4,0.580772401,0.07816465,3,µmol L-1,0.1,both,0.08,15,14.375,2.686996792,187.5,143.75,both,0.199713541,0.092458253,-2.302585093,-2.525728644,5.233778845,4.96807568,NA,-0.554666519,NA,-0.958128369,-1.577461611,-1.26779499,-1.26779499,1.357477652,darkblue,HLH059,274,freshwater,-1.301528581
144,144,273,3447,m2_2_HLH059,273,Hillebrand&Kahlert,2001,Limnol Oceanogr 46:1881-1898,freshwater,lake,59.83,18.62,1,28,0.015625,1.953125,field,13.5,miss.data,periphyton,biomass,biovolume,mm3/cm2,0.341716651,0.185152092,4,0.531209918,0.117357092,4,µmol L-1,0.1,both,0.08,15,14.375,2.686996792,187.5,143.75,both,0.441175381,0.085596615,-2.302585093,-2.525728644,5.233778845,4.96807568,NA,-0.554666519,NA,-0.958128369,-1.577461611,-1.26779499,-1.26779499,1.361933133,darkblue,HLH059,273,freshwater,-1.301528581
147,147,276,3480,m2_2_HLH060,276,Hillebrand,2002,J N Am Benth Soc 21:349-369,marine,coastal hard bottom,44.5,-63.54,1,21,0.0625,6.25,field,5,succ,periphyton,biomass,biovolume,mm3/cm2,0.117261514,0.029645726,4,0.131627468,0.041792616,4,µmol L-1,8,both,0.6,1.403162476,1.589722035,0.403090461,1122.529981,95.3833221,both,0.115569118,0.041181774,2.079441542,-0.510825624,7.023340328,4.557903742,NA,0.852404729,NA,-1.079568945,-1.027078307,-1.053323626,-1.053323626,1.404207667,darkcyan,HLH060,276,marine,-1.081947513
146,146,275,3476,m2_2_HLH060,275,Hillebrand,2002,J N Am Benth Soc 21:349-369,marine,coastal hard bottom,44.5,-63.54,2,21,0.0625,6.25,field,5,succ,periphyton,biomass,biovolume,mm3/cm2,0.07977897,0.021133592,4,0.097485636,0.010828137,4,µmol L-1,8,both,0.6,1.403162476,1.589722035,0.403090461,1122.529981,95.3833221,both,0.200445108,0.020627608,2.079441542,-0.510825624,7.023340328,4.557903742,NA,0.852404729,NA,-1.079568945,-1.027078307,-1.053323626,-1.053323626,1.444154573,darkcyan,HLH060,275,marine,-1.081947513
